Time,x,y,vx,vy,ax,ay
0.0,-0.099999,-0.00031622776601683794,0.001,-0.31622776601683794,1.0,0.0
0.001,-0.09999699999449613,-0.000632452215754341,0.002000005503882505,-0.31622444973750297,1.0000055038825049,0.0033162793349747802
0.002,-0.09999399998897714,-0.0009486700328633003,0.003000005518992011,-0.3162178171089593,1.0000000151095059,0.006632628543640762
0.003,-0.09998999999992506,-0.0012648779009610375,0.0039999890520784325,-0.3162078680977372,0.9999835330864215,0.009949011222083406
0.004,-0.09998500005481564,-0.0015810725036678127,0.004999945109417427,-0.3161946027067752,0.9999560573389945,0.013265390962042954
0.005,-0.09997900019211871,-0.0018972505246432365,0.005999862696930747,-0.31617802097542386,0.9999175875133209,0.016581731351310528
0.006,-0.09997200046129841,-0.0022134086476226864,0.006999730820306631,-0.31615812297944973,0.9998681233758832,0.0198979959741245
0.007,-0.09996400092281328,-0.0025295435564537247,0.007999538485120201,-0.3161349088310382,0.9998076648135714,0.02321414841156689
0.008,-0.09995500164811633,-0.0028456519351325207,0.008999274696953916,-0.3161083786787962,0.999736211833714,0.026530152241960158
0.009000000000000001,-0.09994500271965481,-0.003161730467840276,0.009998928461518015,-0.31607853270775493,0.9996537645640985,0.029845971041263998
0.01,-0.09993400423087004,-0.0034777758389796473,0.010998488784771013,-0.3160453711393715,0.9995603232529975,0.03316156838347245
0.011,-0.099922006286197,-0.0037937847332111777,0.011997944673040202,-0.31600889423153045,0.999455888269189,0.03647690784101107
0.012,-0.09990900900106386,-0.004109753835489723,0.01299728513314218,-0.3159691022785453,0.999340460101978,0.03979195298513444
0.013000000000000001,-0.09989501250189137,-0.004425679831100883,0.013996499172503394,-0.31592599561115897,0.9992140393612137,0.04310666738632354
0.014,-0.09988001692609208,-0.004741559405697427,0.014995575799280706,-0.3158795745965443,0.9990766267773125,0.04642101461468376
0.015,-0.0998640224220696,-0.005057389245335732,0.015994504022481974,-0.31582983963830397,0.9989282232012677,0.04973495824034251
0.016,-0.09984702914921752,-0.005373166036512202,0.016993272852086645,-0.3157767911764701,0.9987688296046703,0.05304846183384747
0.017,-0.09982903727791835,-0.005688886466199705,0.017991871299166365,-0.3157204296875036,0.9985984470797216,0.05636148896656469
0.018000000000000002,-0.09981004698954235,-0.006004547221883998,0.01899028837600561,-0.3156607556842925,0.9984170768392443,0.05967400321107694
0.019,-0.09979005847644613,-0.006320144991600149,0.019988513096222307,-0.31559776971615094,0.9982247202166971,0.06298596814158226
0.02,-0.09976907194197125,-0.006635676463968966,0.02098653447488849,-0.3155314723688167,0.998021378666182,0.06629734733429253
0.021,-0.0997470876004426,-0.006951138328233414,0.021984341528650947,-0.31546186426444883,0.9978070537624545,0.06960810436783225
0.022,-0.09972410567716675,-0.00726652727429504,0.022981923275851877,-0.3153889460616252,0.9975817472009313,0.07291820282363741
0.023,-0.0997001264084301,-0.007581839992750378,0.023979268736649573,-0.31531271845533887,0.9973454607976965,0.07622760628635458
0.024,-0.09967515004149696,-0.007897073174927372,0.024976366933139076,-0.31523318217699464,0.9970981964895048,0.07953627834423987
0.025,-0.09964917683460749,-0.008212223512921777,0.025973206889472866,-0.31515033799440506,0.9968399563337879,0.08284418258955842
0.026000000000000002,-0.0996222070569755,-0.008527287699633564,0.02696977763198152,-0.3150641867117861,0.9965707425086553,0.08615128261898364
0.027,-0.0995942409887862,-0.008842262428803316,0.027966068189294414,-0.3149747291697521,0.9962905573128946,0.08945754203399663
0.028,-0.09956527892119374,-0.009157144395048626,0.028962067592460387,-0.31488196624531084,0.9959994031659721,0.0927629244412858
0.029,-0.09953532115631868,-0.009471930293900484,0.02995776487506842,-0.3147858988518577,0.9956972826080321,0.09606739345314674
0.03,-0.09950436800724531,-0.009786616821839653,0.03095314907336831,-0.31468652793916985,0.9953841982998909,0.09937091268788159
