Time,x,y,vx,vy,ax,ay
0.0,0.9990499549984811,0.0316227766016838,-0.09500450015187957,3.1622776601683795,-9.500450015187957,0.0
0.01,0.9971492841993002,0.06321300990728544,-0.19006707991809613,3.159023330560164,-9.506257976621654,-0.3254329608215666
0.02,0.9942983533306433,0.09473811236487303,-0.2850930868656838,3.152510245758759,-9.502600694758765,-0.6513084801405156
0.03,0.9904984809312583,0.12616550214113637,-0.37998723993850103,3.142738977626334,-9.489415307281726,-0.9771268132424745
0.04,0.9857519437256534,0.1574626525626146,-0.47465372056048305,3.129715042147824,-9.466648062198203,-1.302393547851016
0.05,0.980061980970253,0.1885971405587412,-0.5689962755400404,3.113448799612658,-9.434255497955736,-1.6266242535165887
0.06,0.973432797639248,0.2195366936934997,-0.6629183331005026,3.0939553134758513,-9.392205756046225,-1.949348613680637
0.07,0.9658695663156132,0.25024923543625754,-0.7563231323634736,3.071254174275782,-9.34047992629709,-2.270113920006918
0.08,0.9573784276599002,0.28070292839368993,-0.8491138655712956,3.0453692957432383,-9.279073320782206,-2.5884878532543487
0.09,0.9479664893463281,0.31086621529906794,-0.9411938313572095,3.0163286905378026,-9.207996578591379,-2.9040605205435894
0.1,0.9376418233808552,0.3407078576283405,-1.0324665965472908,2.9841642329272573,-9.127276519008136,-3.2164457610545134
0.11,0.9264134617471406,0.3701969717808474,-1.1228361633714603,2.948911415250688,-9.03695668241694,-3.5252817676569306
0.12,0.9142913903610789,0.399303062823489,-1.2122071386061715,2.910609104264161,-8.93709752347111,-3.830231098652683
0.13,0.9012865413503469,0.42799605584903766,-1.3004849010731923,2.8692993025548663,-8.827776246702074,-4.130980170929468
0.14,0.887410783709788,0.45624632504120827,-1.3875757640558968,2.8250269192170596,-8.709086298270462,-4.427238333780691
0.15,0.8726769124145216,0.4840247205711115,-1.4733871295266334,2.777839552990324,-8.581136547073655,-4.718736622673558
0.16,0.8570986360989705,0.5113025934724045,-1.5578276315551138,2.7277872901292994,-8.444050202848043,-5.0052262861024515
0.17,0.8406905634306285,0.5380518186568696,-1.6408072668341933,2.674922518446513,-8.297963527907955,-5.286477168278668
0.18,0.8234681883219829,0.5642448162395721,-1.7222375108645613,2.619299758270254,-8.143024403036812,-5.5622760176258925
0.19,0.8054478741325859,0.5898545713445298,-1.802031418939698,2.560975510495763,-7.979390807513653,-5.8324247774490825
0.2,0.7866468370162603,0.6148546525592937,-1.8801037116325654,2.5000081214763963,-7.80722926928674,-6.096738901936676
0.21,0.767083128566441,0.6392192292011903,-1.956370844981925,2.436457664189662,-7.626713334935958,-6.355045728673447
0.22,0.7467756179064934,0.6629230875502304,-2.0307510659947594,2.3703858349040106,-7.438022101283419,-6.607182928565128
0.23,0.7257439733623293,0.6859416461947005,-2.1031644544164014,2.301855864447014,-7.241338842164198,-6.852997045699622
0.24,0.7040086438426029,0.7082509706258533,-2.1735329519726445,2.230932443115274,-7.036849755624315,-7.0923421331740375
0.25,0.6815908400379614,0.7298277872083919,-2.2417803804641427,2.1576816582538623,-6.824742849149837,-7.325078486141175
0.26,0.6585125155359448,0.7506494966439271,-2.3078324502016683,2.082170943553515,-6.605206973752565,-7.551071470034714
0.27,0.6347963479327281,0.7706941870354773,-2.371616760321676,2.0044690391550213,-6.37843101200077,-7.770190439849356
0.28,0.6104657200074685,0.7899406466525061,-2.4330627925259627,1.9246459617028788,-6.144603220428698,-7.982307745214252
0.29,0.5855447010098943,0.8083683764879785,-2.4921018997574134,1.8427729835472437,-5.903910723145078,-8.187297815563499
0.3,0.5600580280972408,0.825957602691474,-2.548667291265351,1.7589226203495476,-5.65653915079376,-8.385036319769613
0.31,0.5340310879428698,0.8426892889554697,-2.6026940154371014,1.6731686263995709,-5.402672417175032,-8.575399394997678
0.32,0.507489898526031,0.8585451489254524,-2.654118941683883,1.5855859969982746,-5.142492624678136,-8.75826294012963
0.33,0.4804610911002852,0.8735076586984547,-2.7028807425745813,1.496250977300232,-4.876180089069834,-8.933501969804265
0.34,0.4529718923271388,0.8875600694688719,-2.7489198773146364,1.4052410770417165,-4.603913474005504,-9.100990025851543
0.35000000000000003,0.42505010655141573,0.9006864203749266,-2.7921785775723102,1.3126350906054687,-4.325870025767387,-9.260598643624796
0.36,0.39672409818578314,0.9128715515938389,-2.8326008365632576,1.2185131218912286,-4.042225899094738,-9.412196871424007
0.37,0.36802277416360313,0.924101117728567,-2.870132402218001,1.1229566134728,-3.7531565654743315,-9.555650841842867
0.38,0.33897556641183874,0.9343616015238495,-2.904720775176441,1.0260483795282505,-3.4588372958439972,-9.690823394454954
0.39,0.30961241428904657,0.943640327944154,-2.936315212279216,0.927872642030443,-3.159443710277514,-9.817573749780749
0.4,0.27996374692747156,0.9519254786409634,-2.964866736157499,0.828515069680947,-2.8551523878283414,-9.935757234949591
0.41000000000000003,0.2500604654128681,0.9592061068315835,-2.990328151460348,0.728062819062005,-2.5461415302848787,-10.045225061894202
0.42,0.2199339247308535,0.965472152606274,-3.0126540682014586,0.6266045774690474,-2.2325916741110516,-10.145824159295753
0.43,0.18961591540430894,0.9707144586749805,-3.0318009326544537,0.5242306068706564,-1.9146864452994918,-10.2373970598391
0.44,0.15913864474254025,0.9749247865592224,-3.0477270661768694,0.4210327884241951,-1.5926133522415833,-10.319781844646128
0.45,0.12853471761957017,0.9780958332287611,-3.060392712297009,0.31710466695386896,-1.266564612013965,-10.392812147032618
0.46,0.09783711669603085,0.9802212481765015,-3.0697600923539317,0.2125414947740306,-0.9367380056922405,-10.456317217983838
0.47000000000000003,0.06707918199664861,0.9812956509186451,-3.075793469938223,0.10744027421436467,-0.6033377584291499,-10.510122055966592
0.48,0.03629458975325868,0.9813146489003997,-3.0784592243389937,0.001899798175456352,-0.266575440077087,-10.554047603890831
0.49,0.005517330421659191,0.9802748557805341,-3.077725933159949,-0.1039793119865525,0.07332911790445362,-10.587911016200884
0.5,-0.025218314220576833,0.9781739100607473,-3.0735644642236024,-0.21009457197867742,0.4161468936346357,-10.61152599921249
0.51,-0.055877794988946516,0.9750104940181692,-3.0659480768369685,-0.3163416042578117,0.761638738663404,-10.62470322791343
0.52,-0.08642632031338313,0.9707843528913402,-3.05485253244366,-0.42261411268289945,1.1095544393308474,-10.627250842508774
0.53,-0.11682888245973862,0.9654963142617101,-3.0402562146355487,-0.5288038629630086,1.4596317808111463,-10.61897502801092
0.54,-0.14705028504415218,0.9591483075640657,-3.022140258441357,-0.6348006697644492,1.8115956194191654,-10.599680680144052
0.55,-0.177055171931644,0.9517433836503466,-3.0004886887491797,-0.7404923913719033,2.165156969217726,-10.569172160745413
0.56,-0.20680805760818807,0.9432857343220581,-2.975288567654408,-0.8457649328288546,2.520012109477208,-10.52725414569513
0.5700000000000001,-0.23627335911272215,0.9337807117369512,-2.946530150453409,-0.9505022585106919,2.8758417200999036,-10.47373256818374
0.58,-0.265415429611984,0.9232348475858618,-2.914207049926186,-1.054586415108942,3.2323100527222857,-10.408415659824996
0.59,-0.2941985936966618,0.9116558719255993,-2.8783164084677804,-1.1578975660262598,3.5890641458405663,-10.331115091731782
0.6,-0.3225871844720437,0.899052731543618,-2.8388590775381903,-1.260314038198132,3.9457330929590126,-10.241647217187214
0.61,-0.35054558251008305,0.8854356077199413,-2.7958398038039327,-1.3617123823676667,4.301927373425745,-10.139834416953468
0.62,-0.37803825672249397,0.8708159332415089,-2.74926742124109,-1.461967447843253,4.657238256284269,-10.025506547558628
0.63,-0.40502980720609316,0.8552064085138682,-2.699155048359917,-1.5609524727640685,5.011237288117293,-9.898502492081551
0.64,-0.4314850101020447,0.8386210166050266,-2.6455202895951557,-1.6585391908841522,5.363475876476127,-9.758671812008386
0.65,-0.45736886449989056,0.8210750370464193,-2.588385439784584,-1.754597955860741,5.713484981057169,-9.60587649765887
0.66,-0.48264664140520774,0.8025850582064648,-2.527777690531716,-1.8489978839954522,6.060774925286773,-9.43999281347113
0.67,-0.5072839347763862,0.7831689880432012,-2.4637293371178486,-1.9416070163263572,6.404835341386768,-9.260913233090507
0.68,-0.5312467146213355,0.7628460630341645,-2.39627798449493,-2.032292500903671,6.74513526229185,-9.06854845773139
0.6900000000000001,-0.5545013821288896,0.7416368550741602,-2.3254667507553983,-2.1209207960004277,7.081123373953158,-8.862829509675686
0.7000000000000001,-0.5770148267922871,0.7195632761250514,-2.251344466339753,-2.2073578949108796,7.412228441564517,-8.643709891045182
0.71,-0.5987544854633784,0.6966485803963278,-2.173965867109128,-2.2914695728723653,7.737859923062528,-8.411167796148545
0.72,-0.6196884032561844,0.6729173638312269,-2.093391779280598,-2.373121656510096,8.057408782853013,-8.165208363773042
0.73,-0.6397852961971825,0.6483955606707473,-2.009689294099819,-2.45218031604796,8.370248518077872,-7.9058659537864155
0.74,-0.6590146154972973,0.6231104368672317,-1.922931930011488,-2.528512380351568,8.675736408833101,-7.633206430360795
0.75,-0.6773466132971565,0.5970905801205102,-1.8331997799859188,-2.6019856746721506,8.973215002556918,-7.347329432058253
0.76,-0.6947524097128851,0.5703658863130924,-1.7405796415728578,-2.6724693807417785,9.262013841306102,-7.048370606962805
0.77,-0.7112040609847325,0.5429675421267699,-1.6451651271847458,-2.7398344186322428,9.541451438811189,-6.736503789046439
0.78,-0.7266746285053765,0.5149280036314411,-1.547056752064395,-2.803953849532883,9.810837512035096,-6.4119430900640095
0.79,-0.7411382484790756,0.4862809706481589,-1.4463619973699167,-2.864703298328217,10.069475469447836,-6.07494487953339
0.8,-0.7545702019372375,0.4570613567024938,-1.3431953458161854,-2.9219613945665053,10.316665155373137,-5.725809623828848
0.81,-0.7669469848107424,0.4273052544014133,-1.2376782873504957,-2.9756102301080496,10.55170584656897,-5.36488355415443
0.8200000000000001,-0.7782463777348783,0.3970498960871097,-1.129939292413583,-3.0255358314303593,10.773899493691264,-4.992560132230983
0.8300000000000001,-0.7884475152393655,0.36633360964460754,-1.0201137504487283,-3.071628644250216,10.982554196485458,-4.609281281985667
0.84,-0.7975309539541034,0.3351957693665617,-0.9083438714737934,-3.113784027804585,11.176987897493495,-4.215538355436927
0.85,-0.8054787394413611,0.3036767418083781,-0.7947785487257631,-3.1519027558183565,11.35653227480302,-3.8118728013771404
0.86,-0.8122744712476223,0.2718178265995523,-0.6795731806261277,-3.1858915208825818,11.520536809963545,-3.3988765064225093
0.87,-0.8179033657536113,0.23966119221276955,-0.5628894505989026,-3.215663438678272,11.668373002722515,-2.9771917795690452
0.88,-0.8223523163896226,0.2072498067306268,-0.4448950636011284,-3.241138548214275,11.799438699777419,-2.5475109536002982
0.89,-0.825609950775595,0.17462736369052817,-0.3257634385972321,-3.262244304009863,11.913162500389628,-2.110575579558786
0.9,-0.8276666843418109,0.14183820313102682,-0.2056733566215903,-3.2789160559501345,12.00900819756418,-1.6671751940271304
0.91,-0.8285147699870595,0.1089272280072098,-0.08480856452486234,-3.291097512381702,12.086479209672797,-1.2181456431567468
0.92,-0.8281483433369086,0.0759398161881725,0.03664266501509578,-3.298741181903731,12.145122953995811,-0.7643669522028995
0.93,-0.8265634631756784,0.042921728295662744,0.15848801612302027,-3.3018087892509755,12.18453511079245,-0.3067607347244796
0.9400000000000001,-0.8237581466420197,0.00991901168900182,0.28053165336586333,-3.3002716606660925,12.204363724284304,0.15371285848832078
0.9500000000000001,-0.8197323987998156,-0.02302209905322082,0.4025747842204053,-3.294111074222264,12.204313085454197,0.6160586443828542
0.96,-0.8144882362235207,-0.0558552847600898,0.5244162576294908,-3.283318570686898,12.184147340908552,1.079250353536598
0.97,-0.8080297042699959,-0.08853424696723206,0.6458531953524907,-3.2678962207142255,12.143693772299992,1.5422349972672686
0.98,-0.80036288774727,-0.12101281541141837,0.7666816522725823,-3.247856844418631,12.082845692009164,2.003937629559447
0.99,-0.791495914734247,-0.15324505720850945,0.8866973013023067,-3.2232241797091086,12.001564902972435,2.4632664709522354
1.0,-0.7814389533538523,-0.18518538717004573,1.0056961380394718,-3.1940329961536276,11.899883673716511,2.919118355548102
1.01,-0.7702042013550777,-0.2167886786858771,1.123475199877457,-3.1603291515831367,11.77790618379853,3.370384457049086
1.02,-0.7578058684163138,-0.24801037457715872,1.2398332938763925,-3.122169589128162,11.635809399893548,3.8159562454975036
1.03,-0.7442601511426862,-0.27880659730608726,1.3545717273627595,-3.0796222728928524,11.473843348636704,4.254731623530934
1.04,-0.7295852007931687,-0.30913425791603133,1.467495034951746,-3.032766060994407,11.292330758898643,4.685621189844563
1.05,-0.71380108383832,-0.3389511630681107,1.5784116954848728,-2.9816905152079327,11.091666053312677,5.10755457864744
1.06,-0.696929735515829,-0.3682161195374145,1.6871348322490902,-2.9264956469303818,10.872313676421733,5.519486827755113
1.07,-0.6789949066178774,-0.39688903553319255,1.793482889795162,-2.8672915995778014,10.634805754607177,5.920404735258034
1.08,-0.6600221038108418,-0.42493101821134194,1.897280280703561,-2.8041982678149404,10.379739090839887,6.3093331762861045
1.09,-0.6400385238532939,-0.4523044667526606,1.9983579957548003,-2.7373448541318686,10.107771505123948,6.685341368307179
1.1,-0.6190729821418248,-0.47897316038428445,2.096554171146903,-2.6668693631623843,9.819617539210265,7.047549096948418
1.11,-0.5971558360751793,-0.5049023407213021,2.191714606664554,-2.5929180337017717,9.516043551765064,7.395132946061272
1.12,-0.5743189037847475,-0.5300587877965824,2.283693229043178,-2.515644707528035,9.197862237862427,7.72733261737367
1.1300000000000001,-0.5505953788328335,-0.5544108891240443,2.372352495191395,-2.435210132746192,8.865926614821642,8.043457478184312
1.1400000000000001,-0.5260197415283504,-0.57792870109741,2.4575637304483067,-2.3517811973365648,8.521123525691198,8.342893540962725
1.1500000000000001,-0.5006276675515641,-0.6005840019552713,2.539207397678638,-2.2655300857861285,8.16436672303312,8.625111155043609
1.16,-0.47445593461376107,-0.6223503354359736,2.6171732937802985,-2.1766333480702285,7.796589610166075,8.889673771589989
1.17,-0.4475423279024149,-0.6432030440953915,2.6913606711346203,-2.0852708659417916,7.418737735432184,9.136248212843672
1.18,-0.4199255450754053,-0.6631192910645418,2.761678282700959,-1.9916246969150302,7.031761156633883,9.364616902676136
